Snapshot ID,NodeName,Initiator,VectorClock,Content,BufferedMessages
2,control (4_control),control (2_control),"0,0,0,52,0","25.36, 25.60, 22.48, 20.91, 22.32, 109.00, 134.39, 23.13, 119.50, 91.24, 103.49, 78.83, 20.92, 155.53, 16.58",
2,control (3_control),control (2_control),"0,0,0,0,0","network (4):sensor (4)_37,sensor (4)_38,sensor (4)_39,sensor (4)_40,sensor (4)_41,sensor (4)_42,sensor (4)_43,sensor (4)_44,sensor (4)_45,sensor (4)_46,sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_50,sensor (4)_51,@",
3,control (2_control),control (2_control),"0,0,0,0,0","network (1):sensor (4)_26,sensor (4)_27,sensor (4)_29,sensor (4)_30,sensor (4)_32,sensor (4)_33,sensor (4)_37,sensor (4)_38,sensor (4)_40,sensor (4)_43,sensor (4)_45,sensor (4)_46,sensor (4)_50,sensor (4)_54,sensor (4)_56,@network (3):sensor (4)_34,sensor (4)_35,sensor (4)_36,sensor (4)_39,sensor (4)_41,sensor (4)_42,sensor (4)_44,sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_55,sensor (4)_57,@",
3,control (1_control),control (2_control),"83,0,0,56,0","control (4_control): [sensor (4)_43,134.39,119,false,;sensor (4)_44,23.13,121,false,;sensor (4)_45,119.50,123,false,;sensor (4)_46,91.24,126,false,;sensor (4)_47,103.49,128,false,;sensor (4)_48,78.83,130,false,;sensor (4)_49,20.92,133,false,;sensor (4)_50,155.53,135,false,;sensor (4)_51,16.58,137,false,;sensor (4)_52,15.38,140,false,;sensor (4)_53,128.00,143,false,;sensor (4)_54,76.29,146,false,;sensor (4)_55,110.16,148,false,;sensor (4)_56,117.40,150,false,;sensor (4)_57,98.83,153,false,;]@",
3,control (5_control),control (2_control),"0,0,0,56,84","control (4_control): [sensor (4)_43,134.39,124,false,;sensor (4)_44,23.13,126,false,;sensor (4)_45,119.50,128,false,;sensor (4)_46,91.24,131,false,;sensor (4)_47,103.49,133,false,;sensor (4)_48,78.83,135,false,;sensor (4)_49,20.92,138,false,;sensor (4)_50,155.53,140,false,;sensor (4)_51,16.58,143,false,;sensor (4)_52,15.38,145,false,;sensor (4)_53,128.00,147,false,;sensor (4)_54,76.29,150,false,;sensor (4)_55,110.16,152,false,;sensor (4)_56,117.40,154,false,;sensor (4)_57,98.83,157,false,;]@",
3,control (4_control),control (2_control),"0,0,0,58,0","134.39, 23.13, 119.50, 91.24, 103.49, 78.83, 20.92, 155.53, 16.58, 15.38, 128.00, 76.29, 110.16, 117.40, 98.83",
3,control (3_control),control (2_control),"0,0,0,0,0","network (4):sensor (4)_42,sensor (4)_43,sensor (4)_44,sensor (4)_45,sensor (4)_46,sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_50,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_54,sensor (4)_55,sensor (4)_57,@network (2):sensor (4)_56,@",
4,control (4_control),control (3_control),"0,0,0,63,0","78.83, 20.92, 155.53, 16.58, 15.38, 128.00, 76.29, 110.16, 117.40, 98.83, 142.79, 19.78, 72.42, 28.19, 89.76",
4,control (5_control),control (3_control),"0,0,0,60,90","control (4_control): [sensor (4)_48,78.83,135,false,;sensor (4)_49,20.92,138,false,;sensor (4)_50,155.53,140,false,;sensor (4)_51,16.58,143,false,;sensor (4)_52,15.38,145,false,;sensor (4)_53,128.00,147,false,;sensor (4)_54,76.29,150,false,;sensor (4)_55,110.16,152,false,;sensor (4)_56,117.40,154,false,;sensor (4)_57,98.83,157,false,;sensor (4)_58,142.79,159,false,;sensor (4)_59,19.78,161,false,;sensor (4)_60,72.42,164,false,;sensor (4)_61,28.19,167,false,;sensor (4)_62,89.76,169,false,;]@",
4,control (1_control),control (3_control),"89,0,0,60,0","control (4_control): [sensor (4)_48,78.83,130,false,;sensor (4)_49,20.92,133,false,;sensor (4)_50,155.53,135,false,;sensor (4)_51,16.58,137,false,;sensor (4)_52,15.38,140,false,;sensor (4)_53,128.00,143,false,;sensor (4)_54,76.29,146,false,;sensor (4)_55,110.16,148,false,;sensor (4)_56,117.40,150,false,;sensor (4)_57,98.83,153,false,;sensor (4)_58,142.79,155,false,;sensor (4)_59,19.78,157,false,;sensor (4)_60,72.42,160,false,;sensor (4)_61,28.19,163,false,;sensor (4)_62,89.76,165,false,;]@",
4,control (2_control),control (3_control),"0,0,0,0,0","network (1):sensor (4)_30,sensor (4)_32,sensor (4)_33,sensor (4)_37,sensor (4)_38,sensor (4)_40,sensor (4)_43,sensor (4)_45,sensor (4)_46,sensor (4)_50,sensor (4)_54,sensor (4)_56,sensor (4)_58,sensor (4)_59,sensor (4)_60,@network (3):sensor (4)_36,sensor (4)_39,sensor (4)_41,sensor (4)_42,sensor (4)_44,sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_55,sensor (4)_57,sensor (4)_61,sensor (4)_62,@",
4,control (3_control),control (3_control),"0,0,0,0,0","network (4):sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_50,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_54,sensor (4)_55,sensor (4)_57,sensor (4)_58,sensor (4)_59,sensor (4)_60,sensor (4)_61,sensor (4)_62,@network (2):sensor (4)_56,@",
5,control (4_control),control (3_control),"0,0,0,67,0","15.38, 128.00, 76.29, 110.16, 117.40, 98.83, 142.79, 19.78, 72.42, 28.19, 89.76, 122.24, 16.41, 24.34, 23.62",
5,control (5_control),control (3_control),"0,0,0,66,98","control (4_control): [sensor (4)_52,15.38,145,false,;sensor (4)_53,128.00,147,false,;sensor (4)_54,76.29,150,false,;sensor (4)_55,110.16,152,false,;sensor (4)_56,117.40,154,false,;sensor (4)_57,98.83,157,false,;sensor (4)_58,142.79,159,false,;sensor (4)_59,19.78,161,false,;sensor (4)_60,72.42,164,false,;sensor (4)_61,28.19,167,false,;sensor (4)_62,89.76,169,false,;sensor (4)_63,122.24,171,false,;sensor (4)_64,16.41,174,false,;sensor (4)_65,24.34,176,false,;sensor (4)_66,23.62,178,false,;]@",
5,control (1_control),control (3_control),"97,0,0,66,0","control (4_control): [sensor (4)_52,15.38,140,false,;sensor (4)_53,128.00,143,false,;sensor (4)_54,76.29,146,false,;sensor (4)_55,110.16,148,false,;sensor (4)_56,117.40,150,false,;sensor (4)_57,98.83,153,false,;sensor (4)_58,142.79,155,false,;sensor (4)_59,19.78,157,false,;sensor (4)_60,72.42,160,false,;sensor (4)_61,28.19,163,false,;sensor (4)_62,89.76,165,false,;sensor (4)_63,122.24,167,false,;sensor (4)_64,16.41,170,false,;sensor (4)_65,24.34,172,false,;sensor (4)_66,23.62,174,false,;]@",
5,control (2_control),control (3_control),"0,0,0,0,0","network (1):sensor (4)_32,sensor (4)_33,sensor (4)_37,sensor (4)_38,sensor (4)_40,sensor (4)_43,sensor (4)_45,sensor (4)_46,sensor (4)_50,sensor (4)_54,sensor (4)_56,sensor (4)_58,sensor (4)_59,sensor (4)_60,sensor (4)_65,@network (3):sensor (4)_42,sensor (4)_44,sensor (4)_47,sensor (4)_48,sensor (4)_49,sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_55,sensor (4)_57,sensor (4)_61,sensor (4)_62,sensor (4)_63,sensor (4)_64,sensor (4)_66,@",
5,control (3_control),control (3_control),"0,0,0,0,0","network (4):sensor (4)_51,sensor (4)_52,sensor (4)_53,sensor (4)_54,sensor (4)_55,sensor (4)_57,sensor (4)_58,sensor (4)_59,sensor (4)_60,sensor (4)_61,sensor (4)_62,sensor (4)_63,sensor (4)_64,sensor (4)_65,sensor (4)_66,@network (2):sensor (4)_56,@",
